score,matched_terms,id,title,date,item_url,subjects,tags,media_urls
1,rhythm,1083,"December 29, 1941: Michael Chekhov's fourteenth class for professional actors: Continuous acting","December 29, 1941",https://collections.uwindsor.ca/chekhov/item/1083,"Shaw, Bernard, 1856-1950; Shakespeare, William, 1564-1616. Othello; Stanislavsky, Konstantin, 1863-1938; Schopenhauer, Arthur, 1788-1860",archetype; cliché; creativity; exercises; improvisation; Othello; Peter Frye; psychology; rhythm; Schopenhauer; Shakespeare; Shaw; Stanislavsky; transitions,https://collections.uwindsor.ca/files/original/7594e836cb38d354f43b64f72f19ad3492a03c3b.pdf
1,theatre,638,"December 3, 1936: The Theatre as a Building: Second Lecture Given by Miss Georgette Boner","December 3, 1936",https://collections.uwindsor.ca/chekhov/item/638,"Rainis, Jānis, 1865-1929. The Golden steed",Alan Harkness; Eleanor Paison; Georgette Boner; Golden Steed; John Schoepperle; Rainis,https://collections.uwindsor.ca/files/original/ab0742acb7de4529ff92f6124829ba282e56f6b8.pdf
1,style,793,"December 6, 1937","December 6, 1937",https://collections.uwindsor.ca/chekhov/item/793,,imagination; improvisation; method [Chekhov]; style,https://collections.uwindsor.ca/files/original/01fac26f77325c5ac40c0c4d720270e87822e33f.pdf
1,theatre,641,"December 7, 1936: Miss Boner's lecture, ""The Theatre as A  Buillding,"" continued","December 7, 1936",https://collections.uwindsor.ca/chekhov/item/641,"Rainis, Jānis, 1865-1929. The Golden steed; Stanislavsky, Konstantin, 1863-1938",characterization; exercises; feeling of truth; Georgette Boner; Golden Steed; Rainis; Stanislavsky,https://collections.uwindsor.ca/files/original/bde8a45762c191be0e05c3cb13321aab5e500f77.pdf
1,objective,795,"December 8, 1937","December 8, 1937",https://collections.uwindsor.ca/chekhov/item/795,"Shakespeare, William, 1564-1616. Hamlet; Dostoyevsky, Fyodor, 1821-1881",Dostoyevsky; Hamlet; objective; Shakespeare; speech,https://collections.uwindsor.ca/files/original/346d2aab8b3537d67527ce2b9439e2c88adfbb16.pdf
1,tempo,1017,"December 8, 1939","December 8, 1939",https://collections.uwindsor.ca/chekhov/item/1017,"Shakespeare, William, 1564-1616. Hamlet; Shakespeare, William, 1564-1616. Romeo and Juliet; Gillette, William, 1853-1937. Sherlock Holmes; Shakespeare, William, 1564-1616. King Lear; Chaliapin, Fyodor Ivanovich, 1873-1938; Stanislavsky, Konstantin, 1863-1938",Chaliapin; exercises; Gillette; Hamlet; imagination; King Lear; Romeo and Juliet; Shakespeare; Sherlock Holmes; Stanislavsky; tempo; transitions,https://collections.uwindsor.ca/files/original/c600d2b933a230dc99b75e12e0a2bc56885e4f62.pdf
1,scene,1079,"December 8, 1941: Michael Chekhov's tenth class for professional actors: Criticism of scene by Peter Frye","December 8, 1941",https://collections.uwindsor.ca/chekhov/item/1079,"Chaliapin, Fyodor Ivanovich, 1873-1938; Molnár, Ferenc, 1878-1952. Liliom; Cervantes Saavedra, Miguel de, 1547-1616. Don Quixote; Shakespeare, William, 1564-1616. Romeo and Juliet; Goethe, Johann Wolfgang von, 1749-1832. Faust; Steiner, Rudolf, 1861-1925",Cervantes; Chaliapin; Don Quixote; exercises; Faust; Goethe; Liliom; method [Chekhov]; Molnár; Peter Frye; psychological gesture; radiating; Romeo and Juliet; Shakespeare; significance; Steiner,https://collections.uwindsor.ca/files/original/e38e6444d4f667436d8450dc2f0cbad5b34f6afb.pdf
1,style,815,"February 1, 1938 (afternoon)","February 1, 1938",https://collections.uwindsor.ca/chekhov/item/815,"Young, Henry Lyon. Spanish evening",Henry Lyon Young; imagination; improvisation; Spanish Evening; style; Woodrow Chambliss,https://collections.uwindsor.ca/files/original/1e39fc23492a00fca32d6888f76f2727f7ee8243.pdf
1,atmosphere,1027,"February 1, 1940","February 1, 1940",https://collections.uwindsor.ca/chekhov/item/1027,"Shakespeare, William, 1564-1616. Twelfth night",atmosphere; characterization; Shakespeare; Twelfth Night,https://collections.uwindsor.ca/files/original/4a3c621cb86f04b8d718b4357d97e1c341b4aef3.pdf
1,theatre,825,"February 11, 1938","February 11, 1938",https://collections.uwindsor.ca/chekhov/item/825,"Moscow Art Theatre; Stanislavsky, Konstantin, 1863-1938; Nemirovich-Danchenko, Vasiliĭ Ivanovich, 1848-1936; Shdanoff, George, 1905-1998. The Possessed; Chekhov, Anton Pavlovich, 1860-1904",Anton Chekhov; archetype; center; contact; Deirdre Hurst; exercises; Gavin; George Shdanoff; John Schoepperle; Moscow Art Theatre; Nemirovich-Danchenko; Patrick Harvey; Possessed; Stanislavsky; Terence Morgan,https://collections.uwindsor.ca/files/original/767a42ea6d214084df8dc278527a567cc84c9c60.pdf
1,form,829,"February 15, 1938 (afternoon)","February 15, 1938",https://collections.uwindsor.ca/chekhov/item/829,"Shdanoff, George, 1905-1998. The Possessed",characterization; form; George Shdanoff; Possessed; psychology,https://collections.uwindsor.ca/files/original/0d4b5f3c9da0008b3700cb15b96f40d1213144be.pdf
1,objective,939,"February 15, 1939","February 15, 1939",https://collections.uwindsor.ca/chekhov/item/939,"Stanislavsky, Konstantin, 1863-1938; Cervantes Saavedra, Miguel de, 1547-1616. Don Quixote",Cervantes; Don Quixote; feeling of truth; humor; justification; objective; Stanislavsky; will,https://collections.uwindsor.ca/files/original/908af576a51c5f608f40f49141fd6b41504caabb.pdf
1,rhythm,830,"February 17, 1938","February 17, 1938",https://collections.uwindsor.ca/chekhov/item/830,"Shdanoff, George, 1905-1998. The Possessed; Steiner, Rudolf, 1861-1925",George Shdanoff; Possessed; psychological gesture; rhythm; Steiner,https://collections.uwindsor.ca/files/original/bad86e955a69a0aacceb630255af2e6115e12452.pdf
1,rhythm,1060,"February 17, 1941","February 17, 1941",https://collections.uwindsor.ca/chekhov/item/1060,"Shakespeare, William, 1564-1616. King Lear; Goethe, Johann Wolfgang von, 1749-1832",archetype; exercises; Goethe; King Lear; movement; rhythm; Shakespeare; speech; transitions,https://collections.uwindsor.ca/files/original/5a1a27b91b4c1b6286014c7db247496f62ccbaf1.pdf
1,style,831,"February 18, 1938","February 18, 1938",https://collections.uwindsor.ca/chekhov/item/831,"Shakespeare, William, 1564-1616. Othello; Shdanoff, George, 1905-1998. The Possessed",fairy tale; George Shdanoff; imagination; Othello; Possessed; psychological gesture; Shakespeare; space; style,https://collections.uwindsor.ca/files/original/d1b89c233a81d29bf2af65705c03418762fbba60.pdf
1,form,1028,"February 2, 1940","February 2, 1940",https://collections.uwindsor.ca/chekhov/item/1028,"Shakespeare, William, 1564-1616. King Richard III; Chekhov, Anton Pavlovich, 1860-1904. Three sisters; Sheridan, Richard Brinsley, 1751-1816. Rivals",Carl Jacobs; Deyna Krugliak; feeling of form; Helen; Margaret Draper; method [Chekhov]; presence,https://collections.uwindsor.ca/files/original/bc872f9cf7efd344660f7f0a46b9af167e2f9c76.pdf
1,rhythm,832,"February 21, 1938","February 21, 1938",https://collections.uwindsor.ca/chekhov/item/832,"Steiner, Rudolf, 1861-1925; Goethe, Johann Wolfgang von, 1749-1832; Steffen, Albert, 1884-1963; Shdanoff, George, 1905-1998. The Possessed",archetype; contact; fairy tale; George Shdanoff; Goethe; movement; Possessed; psychological gesture; psychology; rhythm; Steffen; Steiner,https://collections.uwindsor.ca/files/original/4b8060d6e50e827af242313313bd4d6ad707c832.pdf
1,objective,835,"February 22, 1938","February 22, 1938",https://collections.uwindsor.ca/chekhov/item/835,"Shdanoff, George, 1905-1998. The Possessed",George Shdanoff; objective; Possessed,https://collections.uwindsor.ca/files/original/511f31dfdf169f80e90342fdbe56f0a00f941be9.pdf
1,style,1036,"February 23, 1940","February 23, 1940",https://collections.uwindsor.ca/chekhov/item/1036,"Shakespeare, William, 1564-1616. Twelfth night",Shakespeare; style; Twelfth Night,https://collections.uwindsor.ca/files/original/0e8be425fa210c0a4ab818ac36e722352dec3474.pdf
1,director,672,"February 25, 1937: Performance of Sketches","February 25, 1937",https://collections.uwindsor.ca/chekhov/item/672,,director,https://collections.uwindsor.ca/files/original/30a40bb2b6f3d5ba98b7ded44367c274f563a654.pdf
1,rhythm,837,"February 25, 1938","February 25, 1938",https://collections.uwindsor.ca/chekhov/item/837,"Shakespeare, William, 1564-1616. King Lear; Tolstoy, Leo, 1828-1910",Eleanor Paison; feeling of the whole; King Lear; Leo Tolstoy; rhythm; Shakespeare; transitions,https://collections.uwindsor.ca/files/original/fea15c939be1bd99d817c7738fb3594c323949bc.pdf
1,atmosphere,1038,"February 29, 1940","February 29, 1940",https://collections.uwindsor.ca/chekhov/item/1038,,archetype; atmosphere; creativity; method [Chekhov]; psychological gesture,https://collections.uwindsor.ca/files/original/291d4cdd9cf12aea33008eac477c9545fa095a04.pdf
1,style,818,"February 3, 1938 (afternoon)","February 3, 1938",https://collections.uwindsor.ca/chekhov/item/818,"Shdanoff, George, 1905-1998. The Possessed; Shakespeare, William, 1564-1616. Hamlet; Shakespeare, William, 1564-1616. Merchant of Venice; Shakespeare, William, 1564-1616. Othello; Stanislavsky, Konstantin, 1863-1938. Actor prepares",Actor Prepares; Alan Harkness; Anna de Goguel; Catherine Gabrielson; Daphne Moore; Deirdre Hurst; exercises; fairy tale; fire; Gavin; George Shdanoff; Hamlet; Hurd Hatfield; Mary Lou Taylor; Merchant of Venice; method [Chekhov]; Othello; Paula Morel; Possessed; Sam Schatz; Shakespeare; speech; Stanislavsky; style; Valerie; Woodrow Chambliss,https://collections.uwindsor.ca/files/original/e8c36288679654f95f2cade6fac2e9acfa5640ba.pdf
1,style,1031,"February 7, 1940","February 7, 1940",https://collections.uwindsor.ca/chekhov/item/1031,"Tree, Iris, 1897-1968. Troublemaker-Doublemaker; Chekhov, Michael, 1891-1955. The Mother",Blair Cutting; characterization; comedy; Deirdre Hurst; fairy tale; Hurd Hatfield; Iris Tree; Katherine Ann Faulder; Lonnie; Mary Lou Taylor; Ronald Bennett; style; Troublemaker-Doublemaker; Woodrow Chambliss,https://collections.uwindsor.ca/files/original/cbe6760b8889dd7c5a2f06fdd20f428f55754cf8.pdf
1,atmosphere,1032,"February 7, 1940 (afternoon)","February 7, 1940",https://collections.uwindsor.ca/chekhov/item/1032,"Shakespeare, William, 1564-1616. Twelfth night; Dickens, Charles, 1812-1870. Cricket on the hearth",atmosphere; Cricket on the Hearth; Dickens; psychology; Shakespeare; Twelfth Night,https://collections.uwindsor.ca/files/original/a61bd84ab57f3b325875a5b95b2abcb6f1af4de9.pdf
1,action,1059,"February 7, 1941","February 7, 1941",https://collections.uwindsor.ca/chekhov/item/1059,"Shakespeare, William, 1564-1616. Hamlet",action; exercises; feeling of the whole; Hamlet; preparation; Shakespeare; sustaining,https://collections.uwindsor.ca/files/original/1bfdd7afc3521a04f6d22e5c306cebd91a06926c.pdf
1,style,1033,"February 8, 1940","February 8, 1940",https://collections.uwindsor.ca/chekhov/item/1033,"Shakespeare, William, 1564-1616. Twelfth night; Dickens, Charles, 1812-1870. Cricket on the hearth; Chekhov, Michael, 1891-1955. The Mother",costume; Cricket on the Hearth; Dickens; Michael Chekhov; setting; Shakespeare; style; The Mother; Twelfth Night,https://collections.uwindsor.ca/files/original/5f144536cff8602a93cff7fef028a42f01048c71.pdf
1,objective,937,"February 9, 1939","February 9, 1939",https://collections.uwindsor.ca/chekhov/item/937,"Stanislavsky, Konstantin, 1863-1938",exercises; method [Chekhov]; objective; Stanislavsky; will,https://collections.uwindsor.ca/files/original/08478b34e7e55de40f24988fa6932ec50c0ac422.pdf
1,theatre,803,"January 16, 1938 (afternoon)","January 16, 1938",https://collections.uwindsor.ca/chekhov/item/803,"Shaw, Bernard, 1856-1950. St. Joan; Shakespeare, William, 1564-1616. Merchant of Venice; Shakespeare, William, 1564-1616. Romeo and Juliet; Shakespeare, William, 1564-1616. Othello; Michelangelo Buonarroti, 1475-1564; Ibsen, Henrik, 1828-1906. Brand",Beatrice Straight; Brand; Deirdre Hurst; exercises; humor; Ibsen; inspiration; Merchant of Venice; Michelangelo; Othello; Romeo and Juliet; Shakespeare; Shaw; St. Joan; Terence Morgan; theatre of the future,https://collections.uwindsor.ca/files/original/8656b022f38cc6535e3bea1f1caf5f6b413a2809.pdf
1,style,927,"January 17, 1939","January 17, 1939",https://collections.uwindsor.ca/chekhov/item/927,"Shdanoff, George, 1905-1998. The Possessed; Young, Henry Lyon. Spanish evening",George Shdanoff; Henry Lyon Young; imagination; movement; Possessed; Spanish Evening; style,https://collections.uwindsor.ca/files/original/2b10eaaf79f48e2b83b3e7b9eac9c43421bc1344.pdf
1,scene,654,"January 18, 1937","January 18, 1937",https://collections.uwindsor.ca/chekhov/item/654,"Słowacki, Juliusz, 1809-1849. Balladina; Ibsen, Henrik, 1828-1906. Peer Gynt; Cervantes Saavedra, Miguel de, 1547-1616. Don Quixote; Shakespeare, William, 1564-1616. King Lear; The fairy tale / Two kings (scene); Clowns (scene)",Balladina; Cervantes; clown; Don Quixote; fairy tale; Ibsen; King Lear; Peer Gynt; Shakespeare; Słowacki,https://collections.uwindsor.ca/files/original/cd1b93f5706028be7e07cc35d8c55e75503b6554.pdf
